threads,size,duration,flush_threshold,blocked,sample_interval,filter_size,baseline_ops,with_hook_ops,overhead_pct,records,alloc,free,thread_name,flush,dropped,avg_batch
1,32,1,20,0,1,-1,16843281.00,314056.00,98.1354,628742,314059,314054,629,31433,0,20.0026
1,32,1,20,0,1,32,16843281.00,308353.00,98.1693,617324,308354,308352,618,30861,0,20.0034
1,32,1,20,0,1,64,16843281.00,5268921.00,68.7180,0,0,0,0,0,0,0
1,32,1,20,0,1,128,16843281.00,4670340.00,72.2718,0,0,0,0,0,0,0
1,32,1,20,0,1,256,16843281.00,5156586.00,69.3849,0,0,0,0,0,0,0
1,32,1,20,1,1,-1,16843281.00,108328.00,99.3568,216881,108333,108330,218,216881,0,1
1,32,1,20,1,1,32,16843281.00,94432.00,99.4393,189057,94435,94432,190,189057,0,1
1,32,1,20,1,1,64,16843281.00,5269619.00,68.7138,4,3,0,1,4,0,1
1,32,1,20,1,1,128,16843281.00,4247206.00,74.7840,4,3,0,1,4,0,1
1,32,1,20,1,1,256,16843281.00,5192617.00,69.1710,4,3,0,1,4,0,1
1,64,1,20,0,1,-1,16781197.00,309478.00,98.1558,619581,309482,309479,620,30971,0,20.0052
1,64,1,20,0,1,32,16781197.00,306896.00,98.1712,614404,306896,306893,615,30712,0,20.0053
1,64,1,20,0,1,64,16781197.00,311481.00,98.1439,623584,311481,311479,624,31178,0,20.0008
1,64,1,20,0,1,128,16781197.00,5257660.00,68.6693,0,0,0,0,0,0,0
1,64,1,20,0,1,256,16781197.00,5256572.00,68.6758,0,0,0,0,0,0,0
1,64,1,20,1,1,-1,16781197.00,80555.00,99.5200,161279,80560,80557,162,161279,0,1
1,64,1,20,1,1,32,16781197.00,100359.00,99.4020,200923,100362,100359,202,200923,0,1
1,64,1,20,1,1,64,16781197.00,113612.00,99.3230,227455,113615,113612,228,227455,0,1
1,64,1,20,1,1,128,16781197.00,5275279.00,68.5643,4,3,0,1,4,0,1
1,64,1,20,1,1,256,16781197.00,5285771.00,68.5018,4,3,0,1,4,0,1
1,256,1,20,0,1,-1,17210407.00,324960.00,98.1118,650564,324959,324954,651,32526,0,20.0014
1,256,1,20,0,1,32,17210407.00,321102.00,98.1343,642844,321102,321099,643,32122,0,20.0126
1,256,1,20,0,1,64,17210407.00,325494.00,98.1087,651642,325496,325494,652,32575,0,20.0044
1,256,1,20,0,1,128,17210407.00,309013.00,98.2045,618644,309014,309011,619,30924,0,20.0053
1,256,1,20,0,1,256,17210407.00,309590.00,98.2011,619802,309592,309590,620,30965,0,20.0162
1,256,1,20,1,1,-1,17210407.00,87400.00,99.4922,174983,87405,87402,176,174983,0,1
1,256,1,20,1,1,32,17210407.00,106534.00,99.3810,213285,106537,106534,214,213285,0,1
1,256,1,20,1,1,64,17210407.00,89436.00,99.4803,179055,89439,89436,180,179055,0,1
1,256,1,20,1,1,128,17210407.00,76675.00,99.5545,153508,76678,76675,155,153508,0,1
1,256,1,20,1,1,256,17210407.00,84501.00,99.5090,169175,84504,84501,170,169175,0,1
