threads,size,duration,flush_threshold,blocked,sample_interval,filter_size,baseline_ops,with_hook_ops,overhead_pct,records,alloc,free,thread_name,flush,dropped,avg_batch
1,32,1,20,0,1,-1,16785750.00,305088.00,98.1825,610784,305089,305084,611,30532,0,20.0047
1,32,1,20,0,10,-1,16785750.00,1806771.00,89.2363,361703,180671,180670,362,18084,0,20.0013
1,32,1,20,0,100,-1,16785750.00,4198834.00,74.9857,84060,41988,41987,85,4203,0,20
1,32,1,20,0,1000,-1,16785750.00,4357058.00,74.0431,8721,4356,4355,10,436,0,20.0023
1,32,1,20,0,10000,-1,16785750.00,4940412.00,70.5678,981,490,489,2,49,0,20.0204
1,32,1,20,0,100000,-1,16785750.00,4805807.00,71.3697,101,50,49,2,5,0,20.2
1,32,1,20,1,1,-1,16785750.00,88126.00,99.4750,176437,88131,88128,178,176437,0,1
1,32,1,20,1,10,-1,16785750.00,741911.00,95.5801,148535,74193,74192,150,148535,0,1
1,32,1,20,1,100,-1,16785750.00,2068401.00,87.6776,41414,20686,20685,43,41414,0,1
1,32,1,20,1,1000,-1,16785750.00,4193330.00,75.0185,8399,4195,4194,10,8399,0,1
1,32,1,20,1,10000,-1,16785750.00,4669863.00,72.1796,937,468,467,2,937,0,1
1,32,1,20,1,100000,-1,16785750.00,4952986.00,70.4929,103,51,50,2,103,0,1
