threads,size,duration,flush_threshold,sample_interval,filter_size,baseline_ops,with_hook_ops,overhead_pct,records,alloc,free,thread_name,flush,dropped,avg_batch
1,32,1,20,1,-1,17159818.00,325552.00,98.1028,651761,325556,325553,652,32582,0,20.0037
1,32,1,20,1,32,17159818.00,320858.00,98.1302,642361,320860,320858,643,32117,0,20.0007
1,32,1,20,1,64,17159818.00,5269462.00,69.2919,0,0,0,0,0,0,0
1,32,1,20,1,128,17159818.00,4726301.00,72.4572,0,0,0,0,0,0,0
1,32,1,20,1,256,17159818.00,5276411.00,69.2514,0,0,0,0,0,0,0
1,64,1,20,1,-1,17303614.00,330631.00,98.0892,661922,330632,330628,662,33092,0,20.0025
1,64,1,20,1,32,17303614.00,314284.00,98.1837,629200,314287,314284,629,31450,0,20.0064
1,64,1,20,1,64,17303614.00,326702.00,98.1119,654060,326704,326702,654,32692,0,20.0067
1,64,1,20,1,128,17303614.00,5281870.00,69.4753,0,0,0,0,0,0,0
1,64,1,20,1,256,17303614.00,5226624.00,69.7946,0,0,0,0,0,0,0
1,256,1,20,1,-1,17271186.00,323647.00,98.1261,647944,323650,323646,648,32390,0,20.0044
1,256,1,20,1,32,17271186.00,315789.00,98.1716,632204,315787,315785,632,31604,0,20.0039
1,256,1,20,1,64,17271186.00,325379.00,98.1161,651405,325378,325375,652,32568,0,20.0014
1,256,1,20,1,128,17271186.00,325289.00,98.1166,651224,325288,325285,651,32556,0,20.0032
1,256,1,20,1,256,17271186.00,324834.00,98.1192,650321,324836,324834,651,32514,0,20.0013
