stage,stage_name,tracking_mode,pid_tid_cache,threads,size,duration,baseline_ops,with_hook_ops,overhead_pct,segment,count,total_cycles,avg_cycles,total_ns,avg_ns,profile_log,consumer_log
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,hook_entry,12589082,759866804,60.36,316621325.67,25.15,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,guard,12589082,813468812,64.62,338956212.18,26.92,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,record_alloc_total,3147271,4358745156,1384.93,1816202079.46,577.07,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,record_free_total,3147270,4663483868,1481.76,1943180616.32,617.42,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,writer_mutex_wait,6294539,388496222,61.72,161878618.96,25.72,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,writer_mutex_hold,6294539,7025635876,1116.15,2927442195.14,465.08,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,sample_filter,3147271,223339010,70.96,93060906.26,29.57,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,tracking_insert,3147271,2349687610,746.58,979067913.04,311.08,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,tracking_lookup,3147268,739995268,235.12,308341253.37,97.97,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,15327483.80,629453.20,95.8933,tracking_erase,3147268,2014988646,640.23,839605537.37,266.77,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
