stage,stage_name,tracking_mode,pid_tid_cache,threads,size,duration,baseline_ops,with_hook_ops,overhead_pct,segment,count,total_cycles,avg_cycles,total_ns,avg_ns,profile_log,consumer_log
1,hook_entry,global,0,1,32,5,17278133.60,6118983.60,64.5854,hook_entry,61189845,3347055462,54.70,1394676073.37,22.79,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage1_hook_entry_global_cache0_t1_s32_d5.profile.csv,
2,guard,global,0,1,32,5,17278133.60,3534724.40,79.5422,hook_entry,35347253,1911906916,54.09,796664061.54,22.54,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage2_guard_global_cache0_t1_s32_d5.profile.csv,
2,guard,global,0,1,32,5,17278133.60,3534724.40,79.5422,guard,35347253,2031544178,57.47,846515184.66,23.95,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage2_guard_global_cache0_t1_s32_d5.profile.csv,
3,mutex,global,0,1,32,5,17278133.60,1577731.60,90.8686,hook_entry,15777326,873200634,55.35,363850714.10,23.06,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage3_mutex_global_cache0_t1_s32_d5.profile.csv,
3,mutex,global,0,1,32,5,17278133.60,1577731.60,90.8686,guard,15777326,936525348,59.36,390237252.90,24.73,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage3_mutex_global_cache0_t1_s32_d5.profile.csv,
3,mutex,global,0,1,32,5,17278133.60,1577731.60,90.8686,record_alloc_total,7888663,2598821842,329.44,1082893376.62,137.27,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage3_mutex_global_cache0_t1_s32_d5.profile.csv,
3,mutex,global,0,1,32,5,17278133.60,1577731.60,90.8686,record_free_total,7888662,2590775110,328.42,1079540413.89,136.85,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage3_mutex_global_cache0_t1_s32_d5.profile.csv,
3,mutex,global,0,1,32,5,17278133.60,1577731.60,90.8686,writer_mutex_wait,15777323,908541288,57.59,378576679.35,23.99,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage3_mutex_global_cache0_t1_s32_d5.profile.csv,
3,mutex,global,0,1,32,5,17278133.60,1577731.60,90.8686,writer_mutex_hold,15777323,820632832,52.01,341946432.82,21.67,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage3_mutex_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,hook_entry,13762390,766739420,55.71,319484427.54,23.21,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,guard,13762390,828947652,60.23,345405308.70,25.10,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,record_alloc_total,3440598,4332907182,1259.35,1805432633.95,524.74,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,record_free_total,3440597,4629635360,1345.59,1929073116.77,560.68,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,writer_mutex_wait,6881193,391981104,56.96,163330403.20,23.74,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,writer_mutex_hold,6881193,6936766582,1008.08,2890406887.38,420.04,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,sample_filter,3440598,215160540,62.54,89652938.35,26.06,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,tracking_insert,3440598,2322372832,674.99,967684633.66,281.25,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,tracking_lookup,3440595,684382292,198.91,285167918.95,82.88,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
4,tracking,global,0,1,32,5,17278133.60,688118.60,96.0174,tracking_erase,3440595,2069637638,601.53,862375115.63,250.65,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage4_tracking_global_cache0_t1_s32_d5.profile.csv,
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,hook_entry,4167528,244729050,58.72,101973129.81,24.47,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,guard,4167528,264558146,63.48,110235471.29,26.45,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,record_alloc_total,1041882,5527606744,5305.41,2303230286.94,2210.64,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,record_free_total,1041881,5503534792,5282.31,2293200042.12,2201.02,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,writer_mutex_wait,2083761,124196960,59.60,51750099.65,24.83,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,writer_mutex_hold,2083761,10379307966,4981.05,4324825837.27,2075.49,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,sample_filter,1041882,66182852,63.52,27576916.42,26.47,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,tracking_insert,1041882,748410396,718.33,311845898.41,299.31,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,tracking_lookup,1041879,221225836,212.33,92179865.41,88.47,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,tracking_erase,1041879,663940162,637.25,276649038.30,265.53,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,record_fill,2083761,96917880,46.51,40383516.21,19.38,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,metadata_clock,2085844,187564146,89.92,78153790.93,37.47,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,metadata_pid,2085845,3044794224,1459.74,1268697756.37,608.24,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,metadata_tid,2085844,3017049386,1446.44,1257137101.98,602.70,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,thread_name,2083,3911628,1877.88,1629888.03,782.47,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,ring_index_check,2085844,163509766,78.39,68130867.97,32.66,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,shm_record_copy,2085844,122594346,58.77,51082326.18,24.49,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,atomic_index_update,2085844,128688982,61.70,53621824.90,25.71,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
5,record_write,global,0,1,32,5,17278133.60,208375.40,98.7940,connection,1041882,55086384,52.87,22953266.02,22.03,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,hook_entry,4162300,235283386,56.53,98039900.93,23.55,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,guard,4162300,254678900,61.19,106121790.19,25.50,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,record_alloc_total,1040575,5542133460,5326.03,2309343743.28,2219.30,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,record_free_total,1040574,5523879316,5308.49,2301737449.86,2211.99,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,writer_mutex_wait,2081147,119598954,57.47,49835518.78,23.95,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,writer_mutex_hold,2081147,10443368226,5018.08,4351632317.32,2090.98,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,sample_filter,1040575,64918236,62.39,27050687.83,26.00,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,tracking_insert,1040575,729991514,701.53,304179130.23,292.32,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
6,notify,global,0,1,32,5,17278133.60,208114.00,98.7955,tracking_lookup,1040572,217652770,209.17,90693424.52,87.16,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t1_s32_d5.consumer.log
