main_stage,main_stage_name,tracking_mode,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,none,0,1,32,5,20,1,-1,0,16403927.20,16403927.20,0.0000,
3,mutex,none,0,1,32,5,20,1,-1,0,16403927.20,3468876.40,78.8534,
4,tracking,global,0,1,32,5,20,1,-1,0,16403927.20,1208926.20,92.6303,
5,record_write,global,1,1,32,5,20,1,-1,0,16403927.20,871948.60,94.6845,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_global_cache1_t1_s32_d5.consumer.log
6,notify,global,1,1,32,5,20,1,-1,0,16403927.20,791717.80,95.1736,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_global_cache1_t1_s32_d5.consumer.log
4,tracking,sharded,0,1,32,5,20,1,-1,0,16403927.20,1248379.20,92.3898,
5,record_write,sharded,1,1,32,5,20,1,-1,0,16403927.20,790536.60,95.1808,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_sharded_cache1_t1_s32_d5.consumer.log
6,notify,sharded,1,1,32,5,20,1,-1,0,16403927.20,638027.80,96.1105,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_sharded_cache1_t1_s32_d5.consumer.log
4,tracking,thread_local_fallback,0,1,32,5,20,1,-1,0,16403927.20,1190953.80,92.7398,
5,record_write,thread_local_fallback,1,1,32,5,20,1,-1,0,16403927.20,775126.80,95.2747,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_fallback_cache1_t1_s32_d5.consumer.log
6,notify,thread_local_fallback,1,1,32,5,20,1,-1,0,16403927.20,681151.00,95.8476,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_fallback_cache1_t1_s32_d5.consumer.log
4,tracking,thread_local_only,0,1,32,5,20,1,-1,0,16403927.20,1381411.60,91.5788,
5,record_write,thread_local_only,1,1,32,5,20,1,-1,0,16403927.20,864922.80,94.7273,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_only_cache1_t1_s32_d5.consumer.log
6,notify,thread_local_only,1,1,32,5,20,1,-1,0,16403927.20,728862.00,95.5568,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_only_cache1_t1_s32_d5.consumer.log
0,baseline,none,0,4,32,5,20,1,-1,0,13669767.80,13669767.80,0.0000,
3,mutex,none,0,4,32,5,20,1,-1,0,13669767.80,2356177.40,82.7636,
4,tracking,global,0,4,32,5,20,1,-1,0,13669767.80,526424.00,96.1490,
5,record_write,global,1,4,32,5,20,1,-1,0,13669767.80,419418.20,96.9318,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_global_cache1_t4_s32_d5.consumer.log
6,notify,global,1,4,32,5,20,1,-1,0,13669767.80,218402.40,98.4023,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_global_cache1_t4_s32_d5.consumer.log
4,tracking,sharded,0,4,32,5,20,1,-1,0,13669767.80,505720.60,96.3004,
5,record_write,sharded,1,4,32,5,20,1,-1,0,13669767.80,336295.60,97.5399,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_sharded_cache1_t4_s32_d5.consumer.log
6,notify,sharded,1,4,32,5,20,1,-1,0,13669767.80,312857.40,97.7113,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_sharded_cache1_t4_s32_d5.consumer.log
4,tracking,thread_local_fallback,0,4,32,5,20,1,-1,0,13669767.80,1700438.80,87.5606,
5,record_write,thread_local_fallback,1,4,32,5,20,1,-1,0,13669767.80,375005.40,97.2567,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_fallback_cache1_t4_s32_d5.consumer.log
6,notify,thread_local_fallback,1,4,32,5,20,1,-1,0,13669767.80,343293.00,97.4887,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_fallback_cache1_t4_s32_d5.consumer.log
4,tracking,thread_local_only,0,4,32,5,20,1,-1,0,13669767.80,4322469.60,68.3793,
5,record_write,thread_local_only,1,4,32,5,20,1,-1,0,13669767.80,371429.40,97.2828,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_only_cache1_t4_s32_d5.consumer.log
6,notify,thread_local_only,1,4,32,5,20,1,-1,0,13669767.80,336825.40,97.5360,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_only_cache1_t4_s32_d5.consumer.log
