main_stage,main_stage_name,sub_stage,sub_stage_name,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,0,no_hook,1,32,5,20,1,-1,0,16582781.60,16582781.60,0.0000,
4,tracking,4,tracking_full_erase,1,32,5,20,1,-1,0,16582781.60,1767926.00,89.3388,
5,record_write,6,metadata_clock,1,32,5,20,1,-1,0,16582781.60,1512555.80,90.8788,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_reference_substage6_metadata_clock_t1_s32_d5.consumer.log
5,record_write,7,metadata_pid_tid,1,32,5,20,1,-1,0,16582781.60,346898.20,97.9081,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_reference_substage7_metadata_pid_tid_t1_s32_d5.consumer.log
5,record_write,0,no_subablation,1,32,5,20,1,-1,0,16582781.60,345404.20,97.9171,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_stage5_full_t1_s32_d5.consumer.log
5,record_write,12,metadata_pid_only,1,32,5,20,1,-1,0,16582781.60,561571.00,96.6135,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage12_metadata_pid_only_t1_s32_d5.consumer.log
5,record_write,13,metadata_tid_syscall_only,1,32,5,20,1,-1,0,16582781.60,570783.20,96.5580,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage13_metadata_tid_syscall_only_t1_s32_d5.consumer.log
5,record_write,14,metadata_pid_tid_syscall,1,32,5,20,1,-1,0,16582781.60,349913.00,97.8899,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage14_metadata_pid_tid_syscall_t1_s32_d5.consumer.log
5,record_write,15,metadata_cached_pid_only,1,32,5,20,1,-1,0,16582781.60,1547685.40,90.6669,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage15_metadata_cached_pid_only_t1_s32_d5.consumer.log
5,record_write,16,metadata_thread_local_tid_only,1,32,5,20,1,-1,0,16582781.60,1525362.20,90.8015,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage16_metadata_thread_local_tid_only_t1_s32_d5.consumer.log
5,record_write,17,metadata_cached_pid_thread_local_tid,1,32,5,20,1,-1,0,16582781.60,1522159.80,90.8208,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage17_metadata_cached_pid_thread_local_tid_t1_s32_d5.consumer.log
0,baseline,0,no_hook,4,32,5,20,1,-1,0,14569345.40,14569345.40,0.0000,
4,tracking,4,tracking_full_erase,4,32,5,20,1,-1,0,14569345.40,507777.80,96.5148,
5,record_write,6,metadata_clock,4,32,5,20,1,-1,0,14569345.40,456066.60,96.8697,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_reference_substage6_metadata_clock_t4_s32_d5.consumer.log
5,record_write,7,metadata_pid_tid,4,32,5,20,1,-1,0,14569345.40,73545.00,99.4952,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_reference_substage7_metadata_pid_tid_t4_s32_d5.consumer.log
5,record_write,0,no_subablation,4,32,5,20,1,-1,0,14569345.40,89721.60,99.3842,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_stage5_full_t4_s32_d5.consumer.log
5,record_write,12,metadata_pid_only,4,32,5,20,1,-1,0,14569345.40,150747.20,98.9653,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage12_metadata_pid_only_t4_s32_d5.consumer.log
5,record_write,13,metadata_tid_syscall_only,4,32,5,20,1,-1,0,14569345.40,124989.80,99.1421,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage13_metadata_tid_syscall_only_t4_s32_d5.consumer.log
5,record_write,14,metadata_pid_tid_syscall,4,32,5,20,1,-1,0,14569345.40,84824.60,99.4178,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage14_metadata_pid_tid_syscall_t4_s32_d5.consumer.log
5,record_write,15,metadata_cached_pid_only,4,32,5,20,1,-1,0,14569345.40,447886.40,96.9258,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage15_metadata_cached_pid_only_t4_s32_d5.consumer.log
5,record_write,16,metadata_thread_local_tid_only,4,32,5,20,1,-1,0,14569345.40,441320.80,96.9709,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage16_metadata_thread_local_tid_only_t4_s32_d5.consumer.log
5,record_write,17,metadata_cached_pid_thread_local_tid,4,32,5,20,1,-1,0,14569345.40,443878.40,96.9533,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/pid_tid_substage17_metadata_cached_pid_thread_local_tid_t4_s32_d5.consumer.log
