main_stage,main_stage_name,tracking_mode,pid_tid_cache,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_hook_ops,overhead_pct,consumer_log
0,baseline,none,0,1,32,5,20,1,-1,0,16918863.80,16918863.80,0.0000,
3,mutex,none,0,1,32,5,20,1,-1,0,16918863.80,3481092.60,79.4248,
4,tracking,global,0,1,32,5,20,1,-1,0,16918863.80,1233915.00,92.7069,
5,record_write,global,1,1,32,5,20,1,-1,0,16918863.80,915185.00,94.5907,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_global_cache1_t1_s32_d5.consumer.log
6,notify,global,1,1,32,5,20,1,-1,0,16918863.80,784822.20,95.3613,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_global_cache1_t1_s32_d5.consumer.log
4,tracking,sharded,0,1,32,5,20,1,-1,0,16918863.80,1230591.20,92.7265,
5,record_write,sharded,1,1,32,5,20,1,-1,0,16918863.80,805076.00,95.2415,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_sharded_cache1_t1_s32_d5.consumer.log
6,notify,sharded,1,1,32,5,20,1,-1,0,16918863.80,717612.60,95.7585,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_sharded_cache1_t1_s32_d5.consumer.log
4,tracking,thread_local_fallback,0,1,32,5,20,1,-1,0,16918863.80,820775.20,95.1488,
5,record_write,thread_local_fallback,1,1,32,5,20,1,-1,0,16918863.80,594566.20,96.4858,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_fallback_cache1_t1_s32_d5.consumer.log
6,notify,thread_local_fallback,1,1,32,5,20,1,-1,0,16918863.80,537152.40,96.8251,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_fallback_cache1_t1_s32_d5.consumer.log
4,tracking,thread_local_only,0,1,32,5,20,1,-1,0,16918863.80,1424574.40,91.5800,
5,record_write,thread_local_only,1,1,32,5,20,1,-1,0,16918863.80,867828.80,94.8706,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_only_cache1_t1_s32_d5.consumer.log
6,notify,thread_local_only,1,1,32,5,20,1,-1,0,16918863.80,739647.80,95.6283,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_only_cache1_t1_s32_d5.consumer.log
0,baseline,none,0,4,32,5,20,1,-1,0,13874745.00,13874745.00,0.0000,
3,mutex,none,0,4,32,5,20,1,-1,0,13874745.00,1799518.20,87.0303,
4,tracking,global,0,4,32,5,20,1,-1,0,13874745.00,424739.20,96.9388,
5,record_write,global,1,4,32,5,20,1,-1,0,13874745.00,315468.20,97.7263,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_global_cache1_t4_s32_d5.consumer.log
6,notify,global,1,4,32,5,20,1,-1,0,13874745.00,211297.20,98.4771,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_global_cache1_t4_s32_d5.consumer.log
4,tracking,sharded,0,4,32,5,20,1,-1,0,13874745.00,399895.20,97.1178,
5,record_write,sharded,1,4,32,5,20,1,-1,0,13874745.00,331782.80,97.6087,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_sharded_cache1_t4_s32_d5.consumer.log
6,notify,sharded,1,4,32,5,20,1,-1,0,13874745.00,283468.80,97.9569,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_sharded_cache1_t4_s32_d5.consumer.log
4,tracking,thread_local_fallback,0,4,32,5,20,1,-1,0,13874745.00,413622.00,97.0189,
5,record_write,thread_local_fallback,1,4,32,5,20,1,-1,0,13874745.00,329564.60,97.6247,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_fallback_cache1_t4_s32_d5.consumer.log
6,notify,thread_local_fallback,1,4,32,5,20,1,-1,0,13874745.00,278172.80,97.9951,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_fallback_cache1_t4_s32_d5.consumer.log
4,tracking,thread_local_only,0,4,32,5,20,1,-1,0,13874745.00,4402980.00,68.2662,
5,record_write,thread_local_only,1,4,32,5,20,1,-1,0,13874745.00,373174.00,97.3104,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage5_record_write_thread_local_only_cache1_t4_s32_d5.consumer.log
6,notify,thread_local_only,1,4,32,5,20,1,-1,0,13874745.00,315032.00,97.7295,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/per_thread_tracking_stage6_notify_thread_local_only_cache1_t4_s32_d5.consumer.log
