main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,alloc_pattern,baseline_elapsed_sec,baseline_ops,with_hook_elapsed_sec,with_hook_ops,elapsed_over_baseline_sec,records,consumer_log
0,baseline,0,baseline,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,0.021876845,45710430.37,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,0.973325938,1027405.07,0.951449093,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,1.048786456,953482.95,1.026909611,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,1.169855054,854806.75,1.147978209,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t1_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,1.201865501,832039.86,1.179988656,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t1_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,1.245294987,803022.59,1.223418142,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t1_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.021876845,45710430.37,1.561459145,640426.62,1.539582300,2002004,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t1_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,0.042007338,23805364.67,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,0.735873964,1358928.36,0.693866626,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,0.856731064,1167227.43,0.814723726,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,0.957484334,1044403.51,0.915476996,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t4_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,1.348432545,741601.80,1.306425207,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t4_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,1.976470970,505952.28,1.934463632,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t4_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.042007338,23805364.67,3.507093403,285136.40,3.465086065,2002009,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t4_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,0.048550144,20597261.26,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,0.855119516,1169427.18,0.806569372,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,0.863003786,1158743.47,0.814453642,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,1.024722511,975873.95,0.976172367,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t8_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,1.573990626,635327.80,1.525440482,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t8_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,1.896029112,527418.06,1.847478968,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t8_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048550144,20597261.26,3.640654954,274675.85,3.592104810,2002029,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t8_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,0.045197142,22125292.79,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,0.846722801,1181024.06,0.801525659,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,0.895196189,1117073.57,0.849999047,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,1.111864928,899389.82,1.066667786,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t16_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,1.623998795,615764.00,1.578801653,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t16_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,1.999469052,500132.77,1.954271910,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t16_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045197142,22125292.79,3.820640242,261736.24,3.775443100,2002061,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t16_s32_ops1000000.consumer.log
