main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,alloc_pattern,baseline_elapsed_sec,baseline_ops,with_hook_elapsed_sec,with_hook_ops,elapsed_over_baseline_sec,records,consumer_log
0,baseline,0,baseline,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,0.045044213,22200410.07,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,0.823490021,1214343.80,0.778445808,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,0.883354606,1132048.21,0.838310393,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,1.056018071,946953.49,1.010973858,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t8_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,1.432573598,698044.42,1.387529385,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t8_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,1.820848522,549194.50,1.775804309,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t8_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.045044213,22200410.07,3.674237857,272165.29,3.629193644,2002026,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t8_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,0.048667771,20547478.95,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,0.889848456,1123786.86,0.841180685,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,0.904075267,1106102.60,0.855407496,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,1.067607576,936673.76,1.018939805,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t16_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,1.645040781,607887.67,1.596373010,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t16_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,1.972741681,506908.74,1.924073910,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t16_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048667771,20547478.95,3.793882654,263582.22,3.745214883,2002060,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t16_s32_ops1000000.consumer.log
