main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,alloc_pattern,baseline_elapsed_sec,baseline_ops,with_hook_elapsed_sec,with_hook_ops,elapsed_over_baseline_sec,records,consumer_log
0,baseline,0,baseline,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,0.022858301,43747783.35,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,0.999454660,1000545.64,0.976596359,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,1.110455836,900531.09,1.087597535,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,1.171518678,853592.88,1.148660377,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t1_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,1.215077861,822992.53,1.192219560,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t1_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,1.239106272,807033.28,1.216247971,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t1_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.022858301,43747783.35,1.545450984,647060.31,1.522592683,2002004,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t1_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,0.041641044,24014767.74,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,0.766147811,1305231.17,0.724506767,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,0.923184240,1083207.40,0.881543196,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,0.958648852,1043134.82,0.917007808,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t4_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,1.543764353,647767.26,1.502123309,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t4_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,1.898636254,526693.83,1.856995210,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t4_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.041641044,24014767.74,2.718377639,367866.48,2.676736595,2002009,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t4_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,0.048121384,20780782.20,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,0.831474164,1202683.19,0.783352780,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,0.871585589,1147334.25,0.823464205,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,0.981093277,1019271.08,0.932971893,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t8_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,1.583793208,631395.56,1.535671824,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t8_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,1.982078920,504520.78,1.933957536,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t8_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.048121384,20780782.20,3.121499589,320358.84,3.073378205,2002027,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t8_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,0.047365458,21112431.76,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,0.828123869,1207548.82,0.780758411,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,0.911639696,1096924.59,0.864274238,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,1.111276412,899866.13,1.063910954,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t16_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,1.653629359,604730.43,1.606263901,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t16_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,2.020976837,494810.22,1.973611379,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t16_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.047365458,21112431.76,3.407860347,293439.25,3.360494889,2002060,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t16_s32_ops1000000.consumer.log
