main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,alloc_pattern,baseline_elapsed_sec,baseline_ops,with_hook_elapsed_sec,with_hook_ops,elapsed_over_baseline_sec,records,consumer_log
0,baseline,0,baseline,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,0.025352519,39443812.27,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,0.971616700,1029212.45,0.946264181,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,1.080187088,925765.56,1.054834569,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,1.135504561,880665.77,1.110152042,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t1_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,1.174186149,851653.72,1.148833630,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t1_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,1.221965874,818353.46,1.196613355,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t1_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.025352519,39443812.27,1.492978610,669801.96,1.467626091,2002004,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t1_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,0.044255095,22596268.29,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,0.723003782,1383118.63,0.678748687,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,0.819454950,1220323.34,0.775199855,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,1.067627634,936656.16,1.023372539,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t4_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,1.366535426,731777.59,1.322280331,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t4_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,1.927739860,518742.19,1.883484765,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t4_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.044255095,22596268.29,3.256175384,307108.76,3.211920289,2002012,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t4_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,0.049431053,20230198.21,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,0.849333662,1177393.58,0.799902609,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,0.895212346,1117053.41,0.845781293,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,0.976386202,1024184.90,0.926955149,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t8_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,1.552405474,644161.60,1.502974421,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t8_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,2.018982458,495299.00,1.969551405,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t8_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.049431053,20230198.21,4.153794391,240743.74,4.104363338,2002026,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t8_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045965666,21755368.45,0.045965666,21755368.45,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045965666,21755368.45,0.855889905,1168374.57,0.809924239,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.045965666,21755368.45,0.895629225,1116533.46,0.849663559,0,
