main_stage,main_stage_name,sub_stage,sub_stage_name,tracking_mode,pid_tid_cache,threads,size,total_ops,iters_per_thread,alloc_pattern,baseline_elapsed_sec,baseline_ops,with_hook_elapsed_sec,with_hook_ops,elapsed_over_baseline_sec,records,consumer_log
0,baseline,0,baseline,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,0.019983541,50041181.39,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,0.902486592,1108049.70,0.882503051,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,0.976798226,1023752.88,0.956814685,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,1.068444675,935939.90,1.048461134,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t1_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,1.071540415,933235.92,1.051556874,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t1_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,1.105668711,904430.04,1.085685170,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t1_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,1,32,1000000,1000000,mixed3,0.019983541,50041181.39,1.217410786,821415.43,1.197427245,2002006,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t1_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,0.037788594,26463011.56,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,0.657536377,1520828.41,0.619747783,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,0.781328650,1279871.15,0.743540056,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,0.937825071,1066296.94,0.900036477,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t4_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,1.339341566,746635.53,1.301552972,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t4_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,1.939290950,515652.38,1.901502356,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t4_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,4,32,1000000,250000,mixed3,0.037788594,26463011.56,0.859343322,1163679.26,0.821554728,2002016,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t4_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,0.042834663,23345578.79,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,0.818739529,1221389.67,0.775904866,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,0.840587030,1189644.81,0.797752367,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,1.016975895,983307.48,0.974141232,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t8_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,1.565481292,638781.19,1.522646629,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t8_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,1.970425175,507504.68,1.927590512,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t8_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,8,32,1000000,125000,mixed3,0.042834663,23345578.79,1.277623212,782703.37,1.234788549,2002032,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t8_s32_ops1000000.consumer.log
0,baseline,0,baseline,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,0.048265636,20718674.46,0.000000000,0,
6,stage6_optimized,28,stage6_opt_no_writer_ring,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,0.824476687,1212890.57,0.776211051,0,
6,stage6_optimized,29,stage6_opt_writer_mutex_only,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,0.852601028,1172881.53,0.804335392,0,
6,stage6_optimized,30,stage6_opt_ring_index_check,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,1.021421952,979027.32,0.973156316,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage30_stage6_opt_ring_index_check_t16_s32_ops1000000.consumer.log
6,stage6_optimized,31,stage6_opt_record_copy_no_publish,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,1.567263225,638054.91,1.518997589,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage31_stage6_opt_record_copy_no_publish_t16_s32_ops1000000.consumer.log
6,stage6_optimized,32,stage6_opt_atomic_publish_no_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,1.940899402,515225.05,1.892633766,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage32_stage6_opt_atomic_publish_no_notify_t16_s32_ops1000000.consumer.log
6,stage6_optimized,33,stage6_opt_full_notify,thread_local_fallback,1,16,32,1000000,62500,mixed3,0.048265636,20718674.46,1.339844091,746355.50,1.291578455,2002064,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/writer_ring_impact_substage33_stage6_opt_full_notify_t16_s32_ops1000000.consumer.log
