experiment,tool,case,threads,iterations,size,repeats,expected_blocks,expected_bytes,detected_blocks,detected_bytes,byte_delta,match_rate,stack_groups,benchmark_stack_groups,benchmark_stack_hit,symbolized,has_stack,unknown_frames,runtime_ms,notes
followup_20260724_definite_size1024_t2_i2000,bcc_memleak,definite_leak,2,2000,1024,3,4000,4096000,4000.0,4096000.0,0.0,100.0%,4.7,1.0,100.0%,100.0%,100.0%,1.0,9568.3,coarse benchmark stack attribution; ignored non-benchmark stacks: 3 stacks/16786064 bytes; coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151003792 bytes
followup_20260724_definite_size1024_t2_i2000,heaptrack,definite_leak,2,2000,1024,3,4000,4096000,4000.0,4100000.0,4000.0,0.0%,6.0,1.0,100.0%,100.0%,100.0%,0.0,1559.3,heaptrack_print_generated; ignored non-benchmark leak entries: 5 entries/4109544 bytes
followup_20260724_definite_size1024_t2_i2000,lsan,definite_leak,2,2000,1024,3,4000,4096000,4000.0,4096000.0,0.0,100.0%,1.0,1.0,100.0%,100.0%,100.0%,0.0,1096.0,
followup_20260724_definite_size1024_t2_i2000,valgrind,definite_leak,2,2000,1024,3,4000,4096000,4000.0,4096000.0,0.0,100.0%,1.0,1.0,100.0%,100.0%,100.0%,0.0,2564.0,
followup_20260724_definite_size256_t2_i2000,bcc_memleak,definite_leak,2,2000,256,3,4000,1024000,4000.0,1024000.0,0.0,100.0%,5.0,1.0,100.0%,100.0%,100.0%,1.0,9593.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151003792 bytes
followup_20260724_definite_size256_t2_i2000,heaptrack,definite_leak,2,2000,256,3,4000,1024000,4000.0,1020000.0,-4000.0,0.0%,6.0,1.0,100.0%,100.0%,100.0%,0.0,1570.7,heaptrack_print_generated; ignored non-benchmark leak entries: 5 entries/1029544 bytes
followup_20260724_definite_size256_t2_i2000,lsan,definite_leak,2,2000,256,3,4000,1024000,4000.0,1024000.0,0.0,100.0%,1.0,1.0,100.0%,100.0%,100.0%,0.0,1092.0,
followup_20260724_definite_size256_t2_i2000,valgrind,definite_leak,2,2000,256,3,4000,1024000,4000.0,1024000.0,0.0,100.0%,1.0,1.0,100.0%,100.0%,100.0%,0.0,2573.0,
followup_20260724_definite_size64_t2_i10000,bcc_memleak,definite_leak,2,10000,64,3,20000,1280000,20000.0,1280000.0,0.0,100.0%,5.0,1.0,100.0%,100.0%,100.0%,1.0,9606.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151003792 bytes
followup_20260724_definite_size64_t2_i10000,heaptrack,definite_leak,2,10000,64,3,20000,1280000,20000.0,1280000.0,0.0,100.0%,6.0,1.0,100.0%,100.0%,100.0%,0.0,1524.3,heaptrack_print_generated; ignored non-benchmark leak entries: 5 entries/1289544 bytes
