tool,repeat,status,cpu_percent,max_rss_kb,user_seconds,system_seconds,elapsed_seconds,runner_duration_ms,output_bytes
bcc_memleak,1,0,10.0,155192,0.58,0.41,9.57,9551.0,4095.0
bcc_memleak,2,0,10.0,154992,0.57,0.42,9.58,9557.0,4095.0
bcc_memleak,3,0,10.0,155032,0.59,0.41,9.58,9558.0,4095.0
bcc_memleak,4,0,10.0,155512,0.56,0.42,9.59,9560.0,4095.0
bcc_memleak,5,0,10.0,154936,0.58,0.42,9.59,9563.0,4095.0
heaptrack,1,0,23.0,70056,0.17,0.19,1.56,1544.0,8223.0
heaptrack,2,0,23.0,70312,0.16,0.21,1.55,1523.0,8243.0
heaptrack,3,0,22.0,70300,0.13,0.2,1.52,1494.0,8250.0
heaptrack,4,0,24.0,70144,0.17,0.21,1.57,1545.0,8226.0
heaptrack,5,0,23.0,70216,0.15,0.21,1.56,1537.0,8198.0
lsan,1,0,8.0,46848,0.04,0.04,1.08,1055.0,1045.0
lsan,2,0,7.0,46840,0.03,0.04,1.07,1053.0,1044.0
lsan,3,0,8.0,46740,0.04,0.04,1.08,1055.0,1044.0
lsan,4,0,7.0,46848,0.03,0.05,1.07,1051.0,1045.0
lsan,5,0,7.0,47424,0.03,0.04,1.07,1055.0,1044.0
valgrind,1,0,59.0,84052,1.33,0.12,2.46,2441.0,1934.0
valgrind,2,0,59.0,84052,1.32,0.13,2.46,2437.0,1934.0
valgrind,3,0,59.0,84052,1.34,0.12,2.46,2445.0,1934.0
valgrind,4,0,59.0,84052,1.33,0.12,2.45,2431.0,1934.0
valgrind,5,0,59.0,84052,1.33,0.13,2.46,2441.0,1934.0
